"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bulgaria","BGR","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.79859733308725","5.27864167437169","8.30875813322099","10.9194208477268","11.3846177610722","9.96115845510655","9.7485003001914","11.6312733582","12.1380278702598","11.4916711094596","9.01582061019393","8.00073545048775","6.07776474131864","6.33607338373054","7.1907496254694","3.62035642873189","3.13930480493783","3.17217837483166","3.690286516925","3.92542394040458","4.21634947460088","5.15319412989451","5.50160855531038","5.37764364913927","5.25972906167967","3.30778161517693","","","","","",
"Bahrain","BHR","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.76258004301075","6.40896815849684","7.2059295407702","8.27736554042683","9.47527792358457","8.28128745413714","8.82200501629785","9.77972623217009","7.92901236562808","6.46232758711945","5.57987538457565","5.52813952418209","5.3142917324908","4.32529943299728","5.2580637605116","5.22317675013711","6.47493535102002","3.78652509373355","3.53318438691024","2.85510498477321","22.1461332061297","15.4921996191245","13.31262603193","9.32393341396028","10.2593201924569","","","","","","",
"Bahamas, The","BHS","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4202026951776","13.9277156549521","13.7980148662483","11.3636363636364","11.8737551708289","11.5661497351086","12.3136746597537","12.223426447082","14.1705659106693","14.9452538462519","14.4111052383098","12.3590192284408","11.8593310589315","9.99577792458198","10.3433787370145","9.78106063276836","8.14922618752661","7.79992224452512","7.55077163880112","6.46679718493207","8.19963855548934","9.84966144163229","11.2568075863373","10.1440426851153","10.6206782368945","4.86689191542631","","","","","",
"Bosnia and Herzegovina","BIH","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.39541622286446","2.28850801574026","2.21297034154614","2.20130996706093","2.35565713997849","2.40846491807966","2.28536641991591","2.00258552313116","2.57791374755389","2.94984934655581","3.02680529672354","3.30440051764121","2.8087144334853","2.05459759650027","2.04127426750464","2.00852323313797","1.95133551132928","3.18783965975154","3.23639334317368","3.33563417370369","3.27104080293235","3.52278363330369","1.6759368894664","","","","","",
"Belarus","BLR","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.75578888811626","1.95202419410269","1.40383177032392","1.70021930364931","1.99843731217694","3.24364075693706","5.73999929135811","5.80549925090332","3.76709665713372","3.03567525560386","3.00092470354237","2.92696887439618","2.43908190800888","2.10317285635329","2.51180749934867","2.03145496172011","1.52611669245085","1.93172926447574","2.87209585431385","2.98495881989151","3.04690770956277","2.97074268567142","2.96476532594608","2.8302776816881","2.88947777025289","1.35374450839492","","","","","",
"Belize","BLZ","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1382021281008","11.8433560330991","8.00950461213974","8.46354584100075","8.29579210754185","7.4542886712423","7.6504872746431","7.7380400222975","7.67534854040686","7.67791803151743","6.40108220997539","5.73308734567358","5.7294173009729","4.59379138215098","5.49690095698887","4.8171073989482","3.89777986492111","3.80468704408131","3.87561796706111","4.43430811203548","4.22789220693259","4.85946954503044","4.87183260421219","4.32865446033627","3.7732946139599","2.4439504133056","","","","","",
"Bermuda","BMU","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.1405750798722","19.8599866269083","20.8569714712981","19.8679615949954","20.8358951925493","18.1388873184872","18.1771563633717","16.8854338072746","19.3193714359994","19.8577343043418","19.3869296551245","18.0496791000127","15.2017768765209","15.3789257507704","12.3014948067272","","","","","",
"Bolivia","BOL","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.57462354660398","5.02477735038292","4.65490656244848","4.45454545454546","5.88324030773872","5.58272051746044","5.75919356740515","5.50194377882186","9.61861073254106","9.95300658326634","8.97175787695804","10.4139683913561","9.29905623512297","6.59384591573656","7.52551985243775","6.8393145928309","4.67124673989568","5.06103933199244","5.96708153140157","7.37696710824898","7.1301695231312","8.89819816355349","8.4764424845446","8.14273304652224","9.29140480956828","4.03104184020518","","","","","",
"Brazil","BRA","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.29137503357401","7.55551516253143","7.92461880281934","7.83226569544653","5.50654159852086","6.13314013307708","5.09595908194253","4.64410136428551","4.42154622702898","4.58585121290992","5.93453779003952","6.14902509012639","6.51526439742359","5.91786465583505","7.31106198961992","7.53430873272061","7.97229384733788","8.34076963529072","8.77548737220184","9.16639125306454","8.08375628578538","8.1496488281825","9.76315724124417","8.27766376051682","7.90992082494146","2.8565400129506","","","","","",
"Barbados","BRB","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3199026128096","10.8666294771109","9.83852507993194","9.93635397804103","9.75938655075125","9.68029294560991","10.9906525607151","10.593026235001","9.75274730087938","9.2999422729201","7.81550217154281","7.86890241159175","7.85371275920994","6.2955533310719","6.47731855733735","6.73159429594812","5.10542868303674","4.52899037188328","4.23894442955151","4.9745662093293","5.30509685021012","4.42315437058263","","","","","","","","","",
"Brunei Darussalam","BRN","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.3416051710187","16.8889367871451","20.4649471769888","15.8290426904886","14.8299091150939","14.5616350647183","12.9963350214828","10.774184535387","12.8342476130075","","","8.74839524427551","8.0299103964361","10.5213471618864","9.42544679809781","11.5967151814285","11.6652894638074","10.2962198251364","","","","","","","",
"Bhutan","BTN","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.48964402420733","4.98411603201887","4.59773868219375","4.4459322737555","5.71256318463421","6.08628166834274","3.80914861460054","3.65545423639396","4.20267085502313","5.10155120881145","6.3276883606317","5.44837169242115","4.20706807865562","","","","","",
"Botswana","BWA","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.46462786645786","5.07910628199846","4.39720493832422","5.50778659908406","6.4812534586276","9.00664790933495","10.4042299334985","9.4681020732441","8.66544737554415","7.74975347440448","8.21586511796809","8.32263483444142","5.96657384937127","4.00528208386597","4.27145098948211","4.49961896623278","3.82716352097015","3.74403643318378","2.85264585129315","3.07577996593038","3.16827161971355","3.42833589750069","4.03238616169336","3.7800216981862","3.82937333515601","1.21525421705534","","","","","",
"Central African Republic","CAF","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3524315657359","6.62159344564353","5.98283492726678","5.55493276858569","5.4018473117469","5.27695706623055","5.46185275683673","5.27063332991546","5.5271645824852","5.71925520601101","5.90536053070774","6.06690040020077","6.60258110944785","6.66757986949726","7.32840564644529","7.44257363063498","7.25592432657076","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.74652084914408","9.6105990730233","8.49886511908255","6.69404314036824","6.42736969155193","5.46495802288364","5.34180279430796","5.25275976392987","4.74025049663787","4.40076525293186","4.23813421362068","3.95730942082983","3.66892253448386","3.86645725049329","4.22754851861205","3.65162601298525","3.2891253589297","3.32742363721203","3.36698350335755","3.41746617457328","3.51307520444874","3.68931410375564","3.8439215462494","3.80525745221905","3.94243431341611","","","","","","",
