Data Source,World Development Indicators,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Last Updated Date,2026-02-24,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Continent,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Special Notes
Costa Rica,CRI,NA,6.64299505066189,6.47550804128426,6.15596980058374,6.72623307872768,5.1839559299197,4.68134843838756,4.86474694041687,4.0580812161243,3.92243503477706,3.86063472756409,3.78650066392884,5.23785030584608,5.87625523339127,6.95239093031044,5.82626062356799,
Cyprus,CYP,EU,11.5256708290141,11.779437817332,11.1149862699395,13.2595330349111,11.1944178829273,12.3696049404756,8.74141531091098,8.64366202392236,9.22653164971118,8.76940431801301,8.91862737110485,10.8579753365054,10.8188480368261,8.06162667266936,8.35485696014359,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
Czechia,CZE,EU,3.93088689776816,3.19370697333108,2.94741484154955,3.19475708649991,3.47135422495235,3.8057534659212,3.32779335077998,3.16774005196931,3.07730574036252,3.15609885546974,3.26858323036984,3.43493584313411,3.53621788344253,3.5240939502361,3.43587917678243,
Germany,DEU,EU,9.6935955157956,9.4168122035702,8.29270600785192,8.03027339810543,7.86139692908306,8.68099409890687,7.60308707592461,7.07969581838883,7.27754420145955,7.48643057683232,7.27535630472394,7.0565646701518,7.16816309041433,7.29270384150059,6.94665674773844,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 Deutsche Mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries. GDP data before 1991 are calculated by applying backward GDP growth rates of the former Federal Republic of Germany starting from the first official GDP value for the unified Germany (1991)."
Djibouti,DJI,AF,4.13476360614874,3.98775606489159,3.52952508308068,2.44415426926588,2.20282402520552,3.02611261383981,4.1579517701034,4.96746305891384,4.08588934111735,,,,,,,
Denmark,DNK,EU,7.35812584664074,6.18173544859804,5.66278259854429,5.67683013558998,5.39081558380043,6.53969538265798,6.43086604922629,5.95789934429316,5.95971567647031,6.00057610533342,6.11286418009913,6.00199497050961,6.16879067566877,6.04303997341963,5.701129745545,
Dominican Republic,DOM,NA,6.80719678724623,5.77760189948556,4.44312397393008,4.12597030233805,3.4204739799658,4.4310393032339,3.71964444244665,3.41078977852143,3.34759700753937,3.46791286805077,3.54198262106714,3.99890440975075,4.24687743762098,4.46740458051546,4.17178117639253,
Algeria,DZA,AF,,2.67857142857156,1.63268525456474,1.51187763119594,1.24928401290693,1.17097157739247,1.41377204171107,1.00189762457127,0.95860597349711,0.808631766179065,0.952784991230104,1.20397720165126,0.923644158656216,1.05186985792518,0.901999674934226,
Ecuador,ECU,SA,5.97846068004344,5.43400070000416,5.13493544475594,4.69309424771893,3.77536623583919,4.77297106427728,3.81255397596955,3.45579894647886,3.40581502021695,3.34389759772464,3.28065078217442,4.15984853585057,7.36757149628809,6.30615011569188,5.70889901360712,
"Egypt, Arab Rep.",EGY,AF,5.73279881702972,5.62833745553701,5.3165387261514,5.37463196062328,5.04293186240383,5.46226837363327,4.50367677766604,4.19510240122774,4.41419285822258,4.99190212749021,4.711065462998,5.35187551148975,6.37029402032755,3.44468636835502,3.79545671908511,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30) for the years 1980 and after. The data from 1973 to 1979 refer to the calendar year data. Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1965-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.

The national accounts data for Egypt has been updated to reflect local constant prices in the year 2022, moving from the previous reference of 2017."
