País,Sigla,Continente,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Estonia,EST,EU,1111000000.0,1229000000.0,1361000000.0,1416000000.0,1643000000.0,,,,,2022000000.0,2278000000.0,1893000000.0,1911000000.0,2124000000.0,2326000000.0
Ethiopia,ETH,AF,458000000.0,533000000.0,639000000.0,790000000.0,1184000000.0,1119000000.0,1434000000.0,1998000000.0,1980000000.0,2236000000.0,2107000000.0,2279000000.0,2138000000.0,2505000000.0,3548000000.0
Finland,FIN,EU,2977000000.0,3069000000.0,3515000000.0,4287000000.0,4875000000.0,4072000000.0,4496000000.0,5615000000.0,5418000000.0,5774000000.0,5409000000.0,4011000000.0,4017000000.0,5210000000.0,5762000000.0
Fiji,FJI,OC,588000000.0,722000000.0,684000000.0,722000000.0,952000000.0,688000000.0,825000000.0,955000000.0,989000000.0,966000000.0,1091000000.0,1094000000.0,1149000000.0,1243000000.0,1370000000.0
France,FRA,EU,53068000000.0,52126000000.0,54615000000.0,63890000000.0,68034000000.0,58906000000.0,56178000000.0,66133000000.0,63975000000.0,66054000000.0,67402000000.0,66441000000.0,63557000000.0,67717000000.0,72518000000.0
Gabon,GAB,AF,74000000.0,13000000.0,,26000000.0,26500000.0,26200000.7629395,89000000.0,25399999.6185303,39500000.0,61200000.7629395,43500000.0,28700000.7629395,,,
Georgia,GEO,AS,209000000.0,287000000.0,361000000.0,440000000.0,505000000.0,537000000.0,737000000.0,1069000000.0,1565000000.0,1916000000.0,1972000000.0,2049000000.0,2315000000.0,2971000000.0,3518000000.0
Ghana,GHA,AF,495000000.0,867000000.0,910000000.0,990000000.0,970000000.0,849000000.0,706000000.0,797000000.0,1154000000.0,1010000000.0,1027000000.0,911000000.0,952000000.0,919000000.0,996000000.0
Guinea,GIN,AF,,,,1100000.02384186,2400000.09536743,4900000.09536743,2039999.96185303,2119999.88555908,1679999.94754791,,17100000.3814697,27000000.0,16600000.3814697,16600000.3814697,4699999.80926514
"Gambia, The",GMB,AF,51000000.0,59000000.0,69000000.0,87000000.0,80199996.9482422,64000000.0,80000000.0,86000000.0,104000000.0,78000000.0,110000000.0,92000000.0,88000000.0,128000000.0,174000000.0
Greece,GRC,EU,12815000000.0,13455000000.0,14502000000.0,15683000000.0,17608000000.0,16038000000.0,13857000000.0,16269000000.0,14665000000.0,17433000000.0,19489000000.0,17547000000.0,16811000000.0,19139000000.0,21594000000.0
Grenada,GRD,SA,86000000.0,71000000.0,94000000.0,129000000.0,127000000.0,112000000.0,112000000.0,117000000.0,122000000.0,120000000.0,388000000.0,422000000.0,437000000.0,482000000.0,548000000.0
Guatemala,GTM,SA,630000000.0,791000000.0,919000000.0,1055000000.0,1098300048.82813,1086300048.82813,1053300048.82813,1077400024.41406,1110000000.0,1160699951.17188,1164400024.41406,1169500000.0,1202699951.17188,1217599975.58594,1235099975.58594
