Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2026-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Dominica,DMA,42000000,44000000,48000000,47000000,51000000,48000000,46000000,46000000,52000000,61000000,57000000,72000000,74000000,76000000,77000000,94000000,106000000,76000000,82000000,216000000,202000000,197000000,161000000,88000000,124000000,32000000
Denmark,DNK,3691000000,3420000000,3156000000,3236000000,3698000000,3671000000,4003000000,4791000000,5271000000,5652000000,5293000000,5562000000,5978000000,6281000000,5617000000,5704000000,6366000000,6135000000,6490000000,7617000000,6685000000,7494000000,8508000000,9107000000,8651000000,3970000000
Dominican Republic,DOM,1571000000,1781000000,2099000000,2153000000,2483000000,2860000000,2798000000,2730000000,3128000000,3152000000,3518000000,3917000000,4064000000,4166000000,4049000000,4162000000,4391000000,4687000000,5055000000,5630000000,6116000000,6720000000,7184000000,7548000000,7472000000,2674000000
Algeria,DZA,32000000,45000000,28000000,74000000,80000000,102000000,100000000,111000000,112000000,178000000,184000000,220000000,219000000,323000000,246000000,220000000,209000000,217000000,250000000,258000000,311000000,209000000,141000000,168500000,112000000,43000000
Ecuador,ECU,255000000,281000000,290000000,291000000,343000000,402000000,430000000,447000000,406000000,462000000,486000000,490000000,623000000,742000000,670000000,781000000,843000000,1033000000,1246000000,1482000000,1551000000,1723000000,2012000000,2272000000,2282000000,702000000
"Egypt, Arab Rep.",EGY,2684000000,3204000000,3727000000,2565000000,3903000000,4345000000,3800000000,3764000000,4584000000,6125000000,6851000000,7591000000,9303000000,10985000000,10755000000,12528000000,8707000000,9940000000,6047000000,7208000000,6065000000,2645000000,7775000000,11615000000,13030000000,4398000000
Spain,ESP,25368000000,27168000000,26185000000,29117000000,32733000000,31528000000,32519000000,34130000000,42786000000,48746000000,51959000000,56181000000,63491000000,68875000000,59795000000,58348000000,67809000000,62936000000,68414000000,71656000000,62449000000,66982000000,75906000000,81420000000,79611000000,18352000000
Estonia,EST,357000000,484000000,473000000,539000000,549000000,508000000,507000000,555000000,671000000,887000000,971000000,1024000000,1036000000,1193000000,1090000000,1065000000,1256000000,1286000000,1626000000,1864000000,1493000000,1537000000,1659000000,1779000000,1742000000,588000000
Ethiopia,ETH,16000000,23000000,22000000,37000000,47000000,57000000,51000000,72000000,114000000,174000000,168000000,162000000,176000000,377000000,329000000,522000000,758000000,607000000,586000000,352000000,405000000,347000000,436000000,968000000,786000000,1033000000
Finland,FIN,1640000000,1636000000,1639000000,1630000000,1521000000,1406000000,1438000000,1579000000,1871000000,2068000000,2180000000,2380000000,2837000000,3234000000,2745000000,3026000000,3847000000,3877000000,4041000000,3657000000,2574000000,2649000000,3400000000,3665000000,3725000000,1245000000
Fiji,FJI,291000000,298000000,317000000,248000000,280000000,189000000,205000000,260000000,345000000,423000000,485000000,480000000,499000000,658000000,503000000,635000000,724000000,730000000,717000000,809000000,817000000,878000000,942000000,969000000,962000000,151000000
France,FRA,27587000000,28352000000,27402000000,29490000000,37754000000,32857000000,32188000000,35036000000,39421000000,44906000000,43937000000,46527000000,54200000000,57262000000,49616000000,46459000000,55154000000,53327000000,56451000000,58422000000,58326000000,55338000000,59232000000,65362000000,63424000000,32646000000
"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,22000000,24000000,22000000,22000000,27000000,29000000,25000000,,,,,
Gabon,GAB,17000000,10000000,19000000,23000000,15000000,20000000,15000000,18000000,15000000,10000000,9000000,,25000000,26000000,26000000,86000000,20000000,34000000,61000000,43500000,25000000,,,,,
United Kingdom,GBR,20487000000,21389000000,22586000000,23689000000,23023000000,22506000000,20897000000,22651000000,24964000000,30758000000,32780000000,38352000000,43045000000,39326000000,33480000000,35168000000,39067000000,41189000000,46582000000,52659000000,51947000000,48757000000,48188000000,49940000000,52529000000,19098000000
Georgia,GEO,,,47000000,188000000,118000000,97000000,117000000,126000000,147000000,177000000,241000000,313000000,384000000,447000000,476000000,659000000,955000000,1411000000,1720000000,1787000000,1868000000,2111000000,2704000000,3222000000,3269000000,542000000
Ghana,GHA,11000000,13000000,15000000,284000000,304000000,335000000,351000000,358000000,414000000,466000000,836000000,861000000,908000000,919000000,768000000,620000000,694000000,914000000,853000000,897000000,819000000,846000000,850000000,944000000,1425000000,110000000
Guinea,GIN,899999.976158142,6400000.09536743,100000.001490116,899999.976158142,1700000.04768372,2000000,100000.001490116,,,,,,200000.002980232,1500000,2799999.95231628,2000000,2099999.90463257,1409999.9666214,,16700000.7629395,23000000,15199999.8092651,16399999.6185303,3400000.09536743,9399999.61853027,1200000.04768372
"Gambia, The",GMB,28000000,66000000,75000000,,,,,,56000000,47000000,58000000,66000000,85000000,80000000,63000000,74000000,78000000,94000000,71000000,105000000,84000000,84000000,122000000,160000000,152000000,47000000
Guinea-Bissau,GNB,,,3099999.90463257,,,,2700000.04768372,2299999.95231628,1799999.95231628,1000000,1600000.02384186,2799999.95231628,28399999.6185303,38200000.7629395,12000000,13300000.1907349,14100000.3814697,6599999.90463257,17399999.6185303,20799999.2370605,17299999.2370605,11500000,16299999.2370605,19799999.2370605,18899999.6185303,
Greece,GRC,4135000000,3723000000,3773000000,6188000000,8786000000,9221000000,9158000000,9916000000,10776000000,12721000000,13336000000,14409000000,15546000000,17438000000,14691000000,12478000000,14813000000,13210000000,16084000000,17820000000,15665000000,14727000000,16875000000,18821000000,20276000000,5015000000
Grenada,GRD,76000000,79000000,78000000,83000000,88000000,93000000,83000000,91000000,104000000,86000000,71000000,94000000,129000000,127000000,112000000,112000000,117000000,122000000,120000000,388000000,422000000,437000000,482000000,522000000,527000000,195000000
Guatemala,GTM,213000000,216000000,266000000,314000000,356000000,482000000,562000000,620000000,621000000,630000000,791000000,919000000,1055000000,1098000000,1086000000,1053000000,1077000000,1110000000,1160000000,1164000000,1169000000,1201000000,1213000000,1231000000,1221000000,297000000
Guyana,GUY,33000000,109000000,112000000,108000000,106000000,75000000,61000000,49000000,26000000,27000000,35000000,37000000,50000000,59000000,35000000,80000000,95000000,64000000,77000000,79000000,65000000,104000000,95000000,28000000,27000000,24000000
"Hong Kong SAR, China",HKG,9604000000,11994000000,9979000000,5651000000,5493000000,5868000000,5904000000,7410000000,7072000000,8918000000,10179000000,11509000000,13566000000,15018000000,15978000000,21689000000,27038000000,31205000000,36108000000,39475000000,35795000000,31398000000,31709000000,35268000000,26371000000,2839000000
Honduras,HND,80000000,115000000,146000000,168000000,208000000,260000000,256000000,301000000,364000000,414000000,463000000,515000000,546000000,619000000,616000000,625000000,637000000,679000000,608000000,698000000,664000000,578000000,603000000,592000000,547000000,187000000
Croatia,HRV,1349000000,2014000000,2523100097.65625,2733399902.34375,2493000000,2758000000,3335000000,3811000000,6310000000,6727000000,7370000000,7990000000,9249000000,11214000000,8992000000,8069000000,9348000000,8683000000,9512000000,9863000000,8022000000,9028000000,10320000000,11127000000,11753000000,5568853027.34375
Haiti,HTI,90000000,96000000,107000000,131000000,135000000,128000000,105000000,108000000,96000000,93000000,80000000,126000000,190000000,360000000,416000000,383000000,456000000,447000000,546000000,578000000,609000000,511000000,460000000,620000000,450000000,
