Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Last Updated Date,2026-02-24,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Continent,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Special Notes,
Greece,GRC,EU,12721000000,13336000000,14409000000,15546000000,17438000000,14691000000,12478000000,14813000000,13210000000,16084000000,17820000000,15665000000,14727000000,16875000000,18821000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
Grenada,GRD,NA,86000000,71000000,94000000,129000000,127000000,112000000,112000000,117000000,122000000,120000000,388000000,422000000,437000000,482000000,522000000,,
Guatemala,GTM,NA,630000000,791000000,919000000,1055000000,1098000000,1086000000,1053000000,1077000000,1110000000,1160000000,1164000000,1169000000,1201000000,1213000000,1231000000,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1985-2003. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",
Guyana,GUY,SA,27000000,35000000,37000000,50000000,59000000,35000000,80000000,95000000,64000000,77000000,79000000,65000000,104000000,95000000,28000000,,
"Hong Kong SAR, China",HKG,AS,8918000000,10179000000,11509000000,13566000000,15018000000,15978000000,21689000000,27038000000,31205000000,36108000000,39475000000,35795000000,31398000000,31709000000,35268000000,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.",
Honduras,HND,NA,414000000,463000000,515000000,546000000,619000000,616000000,625000000,637000000,679000000,608000000,698000000,664000000,578000000,603000000,592000000,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1988-1989. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",
Croatia,HRV,EU,6727000000,7370000000,7990000000,9249000000,11214000000,8992000000,8069000000,9348000000,8683000000,9512000000,9863000000,8022000000,9028000000,10320000000,11127000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2023: 1 euro = 7.53450 Croatian kuna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",
Haiti,HTI,NA,93000000,80000000,126000000,190000000,360000000,416000000,383000000,456000000,447000000,546000000,578000000,609000000,511000000,460000000,620000000,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: September 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",
Hungary,HUN,EU,3914000000,4120000000,4254000000,4739000000,6443000000,5976000000,5587000000,5929000000,5057000000,5362000000,5864000000,5320000000,5674000000,6233000000,6887000000,,
Indonesia,IDN,AS,4798000000,4522000000,4448000000,5346000000,7377000000,5598000000,6958000000,7997000000,8324000000,9119000000,10261000000,10761000000,11206000000,13139000000,16426000000,Fiscal year end: March 31, reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted.
India,IND,AS,6170000000,7493000000,8634000000,10730000000,11832000000,11136000000,14490000000,17708000000,17972000000,18397000000,19700000000,21013000000,22427000000,27365000000,28568000000,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 31). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",
Ireland,IRL,EU,4375000000,4781000000,5372000000,6072000000,6359000000,4964000000,4085000000,4215000000,3866000000,4470000000,4864000000,4783000000,5199000000,5662000000,6782000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
