Sigla,País,Ano,Region,IncomeGroup,Continente,Cultural Demand,Cultural Resources,Geographic Dispersion,Natural Resources,Natural Demand,Non Leisure Resources,Non Leisure Demand,Openness to Tourism,Prioritization of Tourism,Air Transport Infrastructure,Ground and Port Infrastructure,T&T Employment Multiplier,T&T GDP Multiplier,T&T Government Expenditure - % of Government Budget,T&T High-Wage Jobs -  % of Employment in High Wage Sectors,Domestic T&T spending - % of Internal T&T Spending,T&T industry Share of GDP - % of total GDP,T&T industry GDP
LVA,Latvia,2019,Europe & Central Asia,High income,EU,1.1332012,1.1833003,3.2705882,1.5643962,1.0948201,1.5315131,1.1014073,4.2567172,5.0002926,3.4997237,4.1196689,1.8293995,2.7790326,2.9061694,2.7420627,46.645296,3.588607,1230.162
LVA,Latvia,2021,Europe & Central Asia,High income,EU,1.1044304,1.1761076,3.2705882,1.5863139,1.2036627,1.5275631,1.085607,4.3155278,4.7494753,3.1001414,4.1849379,1.7061199,2.8600341,2.9256346,2.994082,58.5237213,1.7430955,583.723664
LVA,Latvia,2024,Europe & Central Asia,High income,EU,1.1106029,1.2526507,2.9555482,1.5890449,1.1905807,1.5304172,1.0556585,4.3252986,4.3870206,3.0760716,3.7519228,1.2427838,2.5733405,2.9453006,2.994082,53.4709817,3.1351523,1268.02921
MAR,Morocco,2019,Middle East & North Africa,Lower middle income,AF,2.2047524,2.3928548,3.71875,2.5836413,2.1507158,3.0842149,2.085328,4.1633328,5.0955487,3.8217353,3.2032581,2.415353,2.758563,3.241555,1.9559094,32.259673,8.332522,9943.208
MAR,Morocco,2021,Middle East & North Africa,Lower middle income,AF,1.8862727,2.6299015,3.71875,2.319508,2.4608217,2.8681701,2.053471,4.1699408,4.8260413,3.3600408,3.2710592,2.5912575,2.7354687,3.2630824,2.3649778,38.3933105,2.778506,3136.79671
MAR,Morocco,2024,Middle East & North Africa,Lower middle income,AF,1.984212,2.7543863,3.790162,2.1963777,2.3050427,2.9008726,2.1714305,4.1880209,4.3783929,3.6452297,3.3309838,2.5748474,2.5672454,3.2848118,2.3649778,32.1794285,5.447466,7123.271
MDA,Moldova,2019,Europe & Central Asia,Upper middle income,EU,1.0956138,1.1989034,3.0307693,1.1817061,1.0103966,1.1899297,1.0326237,3.5644619,3.6987475,2.6431231,2.8967013,5.1599701,4.9855072,2.9571712,1.6641343,38.5134527,0.9564783,103.2077
MDA,Moldova,2021,Europe & Central Asia,Upper middle income,EU,1.0818281,1.195457,3.0307693,1.3613716,1.0286839,1.1958418,1.0562722,3.5710698,3.9755772,2.4594271,2.9540387,4.7450099,4.4092803,2.9689321,1.7365346,25.6880914,1.1357557,136.49179
MDA,Moldova,2024,Europe & Central Asia,Upper middle income,EU,1.1016745,1.2504186,3.0307693,1.3621552,1.0326016,1.2421685,1.032671,3.5724903,3.4974959,2.6041186,2.9540387,4.0603749,3.6593588,2.9807636,1.7365346,35.0754573,2.5747623,433.624655
MEX,Mexico,2019,Latin America & Caribbean,Upper middle income,,7.0,5.8,3.2371135,6.3483564,3.7487373,4.6084922,5.4514245,4.0128444,4.9675522,4.2800744,3.1487967,1.8729338,2.4874324,3.8742268,3.7277285,85.2154656,8.042298,97749.95
MEX,Mexico,2021,Latin America & Caribbean,Upper middle income,,7.0,6.1833333,3.2371135,6.3033769,3.5231988,4.3592718,4.0165562,4.0128444,4.48415,4.0650914,3.0982842,1.7416699,2.1799781,3.090134,3.3879599,85.0107469,4.506942,48328.85
MEX,Mexico,2024,Latin America & Caribbean,Upper middle income,,7.0,6.35,3.3815082,6.4276306,4.1425776,4.6080569,5.0510701,3.9579362,4.4080155,4.3833176,3.134017,1.6313282,1.8981056,3.9659538,3.3879599,84.7975331,7.987764,116264.915
MKD,North Macedonia,2019,Europe & Central Asia,Upper middle income,EU,1.1755812,1.523062,2.625,1.5472132,1.0544979,1.3452345,1.020004,3.6604914,3.9255729,2.6009024,2.7919773,5.6343538,5.6106288,1.77724,2.3739533,44.8440687,1.955831,246.9455
MKD,North Macedonia,2021,Europe & Central Asia,Upper middle income,EU,1.2305188,1.5367964,2.625,1.7550315,1.0932386,1.2277935,1.0243423,3.7281125,3.7576919,2.3921783,2.7067635,4.9211142,4.7563099,1.7834592,2.4218056,47.0939998,1.1967039,147.758141
MKD,North Macedonia,2024,Europe & Central Asia,Upper middle income,EU,1.2147305,1.5328493,3.0611747,1.8354241,1.0878879,1.2628437,1.022269,3.6787747,3.4299082,2.5568465,2.7188397,4.0163396,3.7630245,1.7897259,2.4218056,43.7412834,2.2540066,333.4279
MLI,Mali,2019,Sub-Saharan Africa,Low income,AF,1.2047718,1.5886929,3.0238094,2.4286457,1.2346662,1.0085567,1.0342267,1.9423935,3.3594252,2.2599361,2.2663293,3.7510727,3.1844973,2.033344,1.9566015,82.9865485,3.917253,679.7814
MLI,Mali,2021,Sub-Saharan Africa,Low income,AF,1.0854913,1.5588728,3.0238094,2.3770061,1.0540182,1.0249318,1.0997271,1.9423935,2.96199,2.2454995,2.2182603,4.0751341,3.5542749,2.0414618,2.1714254,88.9312745,1.4198412,245.109245
MLI,Mali,2024,Sub-Saharan Africa,Low income,AF,1.0944655,1.6111164,3.4936203,2.3894715,1.0547769,1.0251751,1.1007006,1.9829556,2.4124797,2.3666542,2.4116833,4.0145204,3.6181923,2.0496456,2.1714254,91.1867587,2.6501512,478.538841
MNE,Montenegro,2019,Europe & Central Asia,Upper middle income,EU,1.2733632,1.1433408,3.7538462,1.6591493,1.5848062,1.1604981,1.1638199,4.0986412,4.4737536,3.0892757,3.2141603,3.9753031,3.4375977,2.5970152,2.8123694,12.2288712,10.38182,567.2457
MNE,Montenegro,2021,Europe & Central Asia,Upper middle income,EU,1.320259,1.1550647,3.7538462,1.7586478,1.8514549,1.1578493,1.1532248,4.1427491,4.4900847,2.5917229,3.3214341,5.2852882,4.6132316,2.606612,3.25057,27.3626224,2.4722214,123.637758
MNE,Montenegro,2024,Europe & Central Asia,Upper middle income,EU,1.3881936,1.2220484,4.2756445,1.7743141,1.802236,1.1448289,1.1011433,4.1365188,4.2779182,3.0118999,3.3469206,6.0199851,5.3923374,2.6162661,3.25057,13.060224,7.7383556,429.0802
MNG,Mongolia,2019,East Asia & Pacific,Upper middle income,AS,1.3482249,1.8620562,3.1785715,3.1169593,1.2488514,2.2580332,1.0337029,2.8141895,4.8612308,2.2844857,2.1857363,5.3623875,5.5646646,3.5253826,1.2137599,34.7665098,3.275476,426.9943
MNG,Mongolia,2021,East Asia & Pacific,Upper middle income,AS,1.5708478,1.967712,3.1785715,3.2280338,1.7074022,1.313096,1.0511863,2.821644,4.7041659,2.110561,2.1694608,5.4181808,5.1448676,3.5405578,1.2276653,74.3340778,0.5896399,76.0152861
MNG,Mongolia,2024,East Asia & Pacific,Upper middle income,AS,1.3150265,1.9287566,3.0271257,3.2481254,1.803904,1.3086011,1.0332066,2.8245599,4.6493221,2.1424416,2.0891425,4.9071367,4.9919312,3.5558242,1.2276653,64.1066031,0.936685,158.4351
MUS,Mauritius,2019,Sub-Saharan Africa,Upper middle income,AF,1.3699524,1.2924881,4.1076922,1.3707825,1.6718434,1.4415426,1.1749494,4.7595534,6.125554,4.3510173,3.784534,3.6433485,4.1295735,7.0,4.3078192,13.3293609,7.588425,1096.775
MUS,Mauritius,2021,Sub-Saharan Africa,Upper middle income,AF,1.2819269,1.3204817,4.1076922,1.3912758,1.7743101,1.3089214,1.1492007,4.7736159,6.0748963,3.1545202,3.9800425,2.7898668,3.2683422,7.0,6.3858481,17.1612236,3.962069,432.000548
MUS,Mauritius,2024,Sub-Saharan Africa,Upper middle income,AF,1.2531705,1.4799593,4.2178504,1.4135331,1.7931598,1.3254875,1.1486361,4.7931867,5.931958,4.1220161,3.8983357,1.7107821,2.5954002,7.0,6.3858481,13.6999037,6.314225,754.6404
MWI,Malawi,2019,Sub-Saharan Africa,Low income,AF,1.0350783,1.3837696,3.721519,2.5550853,1.3278222,1.1837501,1.0079054,2.6591811,3.5407578,1.8756137,2.3788276,2.8328824,2.9771892,1.829122,5.0801456,91.3701306,3.491422,249.3068
MWI,Malawi,2021,Sub-Saharan Africa,Low income,AF,1.0279766,1.4319941,3.721519,2.4995213,1.0501521,1.183736,1.0078488,2.6679916,2.8275974,1.8131003,2.4135557,3.4709358,3.334204,1.8361119,5.2530178,93.5107538,1.2824451,105.414733
MWI,Malawi,2024,Sub-Saharan Africa,Low income,AF,1.0285344,1.4321336,3.6832067,2.5083481,1.0471928,1.169089,1.0071763,3.1078418,2.5605084,1.8377188,2.5395835,4.25572,3.796196,1.843152,5.2530178,93.3252949,1.948915,174.428686
MYS,Malaysia,2019,East Asia & Pacific,Upper middle income,AS,2.0657644,2.1664411,4.0645161,3.9579921,1.8212927,4.4562987,2.6231413,4.658524,4.2838218,5.0428087,4.1466273,2.2873996,3.2686963,2.0845648,2.4610339,50.2646637,4.827184,17149.34
MYS,Malaysia,2021,East Asia & Pacific,Upper middle income,AS,1.8172835,2.2543209,4.0645161,3.9420126,1.892583,3.9958633,2.5090811,4.7842399,4.2978524,4.4423594,4.0267657,1.5036908,2.4417757,2.0929711,2.3974433,81.0696618,2.955112,9940.58
MYS,Malaysia,2024,East Asia & Pacific,Upper middle income,AS,1.7241186,2.4476963,4.3547178,3.9587442,1.7122034,3.8839764,2.4889045,4.9910812,4.2205555,4.1849258,4.0545663,1.0,1.7557974,2.1014334,2.3974433,84.0658099,2.5891948,10507.3481
NAM,Namibia,2019,Sub-Saharan Africa,Lower middle income,AF,1.0503398,1.137585,4.5614033,3.1619017,1.4689784,1.1439849,1.030938,2.2328793,4.3280598,2.6995355,3.1959665,5.6681264,6.3743991,2.9648092,2.8216176,71.9414878,3.219804,447.9305
NAM,Namibia,2021,Sub-Saharan Africa,Lower middle income,AF,1.0472826,1.1868207,4.5614033,3.2028985,1.6738784,1.143093,1.0273703,2.2505005,4.2250614,2.3457596,3.2771171,4.6584296,4.807067,2.9766157,3.0629132,82.2279764,3.3314092,349.329174
NAM,Namibia,2024,Sub-Saharan Africa,Lower middle income,AF,1.0462661,1.1865665,4.6941595,3.2078698,1.6579312,1.1427388,1.0259537,2.4770433,3.7956627,2.3656622,3.2452488,4.5692481,4.1509972,2.9884932,3.0629132,79.1372884,5.6284056,678.006053
NGA,Nigeria,2019,Sub-Saharan Africa,Lower middle income,AF,1.3137157,1.6284289,2.2413793,2.9441248,1.0402893,2.5127196,1.1997112,2.4836714,3.8861308,2.6798378,2.0679661,4.8162836,4.6472431,1.1801722,3.3424664,85.9887624,1.857439,6971.929
NGA,Nigeria,2021,Sub-Saharan Africa,Lower middle income,AF,1.2756076,1.6689019,2.2413793,2.967638,1.158105,2.4446191,1.2344491,2.4770635,3.038958,2.766224,2.1482478,6.630715,5.7581091,1.182661,3.3406917,95.7786051,0.6831678,2730.13139
NGA,Nigeria,2024,Sub-Saharan Africa,Lower middle income,AF,1.2741216,1.8351971,2.346614,2.9885425,1.1766934,2.4921247,1.2176642,3.2371042,2.2367313,2.9391982,2.3487935,7.0,6.3731994,1.1851939,3.3406917,92.1148142,1.0755456,5118.7644
NLD,Netherlands,2019,Europe & Central Asia,High income,EU,2.9216589,2.3720814,3.120482,2.2332883,2.6903987,3.8569707,1.8422999,5.1963459,4.6579002,5.8717988,6.3386966,1.0,4.5170272,2.3184484,1.5686926,49.9654839,1.720503,15744.61
NLD,Netherlands,2021,Europe & Central Asia,High income,EU,3.1808151,2.6535371,3.120482,2.5692194,4.2163361,3.9966339,1.9220799,5.2095617,4.6333858,5.0839278,6.4766149,1.0,4.4830095,2.0265861,1.5841636,78.4865722,2.42047,21974.577
NLD,Netherlands,2024,Europe & Central Asia,High income,EU,3.4262835,2.8399042,3.0249585,2.5515315,4.0451001,4.0775783,2.1812206,5.2102927,4.6985345,5.4338179,6.3320889,1.054211,4.4804296,2.320836,1.5841636,80.5160776,3.339175,32816.5627
NPL,Nepal,2019,South Asia,Lower middle income,AS,1.6227995,1.2056999,3.3626373,2.6132358,1.5942249,1.3003343,1.3145056,3.732555,5.1411138,2.6928752,1.959099,3.1460528,3.1182542,4.1787856,3.057953,56.3317424,3.597796,1017.533
NPL,Nepal,2021,South Asia,Lower middle income,AS,1.5180226,1.1795056,3.3626373,2.6040356,1.5483695,1.2311126,1.2918904,3.725947,5.0131077,2.6544278,2.0525448,4.5758843,4.1121503,4.2067638,3.4488651,73.2087626,1.1572118,354.2561
NPL,Nepal,2024,South Asia,Lower middle income,AS,1.527566,1.1818915,3.4645452,2.6127496,1.478586,1.2826429,1.3115679,3.7406814,4.5691085,2.7014222,2.2381559,5.7938505,4.8255446,4.2349878,3.4488651,77.0488349,2.0818088,806.7339
NZL,New Zealand,2019,East Asia & Pacific,High income,OC,1.9588236,1.7355392,3.2753623,3.7080197,3.358719,2.491739,2.2932246,5.0464914,5.1560303,4.9890297,3.567639,2.7053385,4.7306975,3.2599696,3.5722705,59.2727326,5.908952,11798.88
NZL,New Zealand,2021,East Asia & Pacific,High income,OC,1.9435724,1.8983931,3.2753623,3.6975424,3.3063326,2.5673904,2.5958303,5.0729232,5.0116531,4.0941353,3.4074151,2.5344578,4.7229619,2.5375409,3.6592442,70.1927084,2.942541,6148.622
NZL,New Zealand,2024,East Asia & Pacific,High income,OC,1.7446673,2.0153335,4.5791592,3.6448902,2.9822534,2.5764687,2.7184589,5.0744831,4.2517584,3.9942978,3.7272233,2.1832532,4.6742686,2.4727515,3.6592442,90.7156124,3.0537605,7315.15074
OMN,Oman,2019,Middle East & North Africa,High income,AS,1.195102,1.9737755,4.46861,1.9721434,1.392812,2.0241464,1.142669,4.0754422,4.1939058,4.3673948,3.7555153,1.3438549,2.2953418,1.7677984,4.8009269,43.1316597,4.509344,3416.234
OMN,Oman,2021,Middle East & North Africa,High income,AS,1.2225933,1.9806483,4.46861,2.0040896,1.5499586,2.0955579,1.1477751,4.0820501,3.7955154,4.0025591,3.6441376,1.412331,2.2165388,1.7720166,5.0932605,47.4172815,1.7106755,1133.30674
OMN,Oman,2024,Middle East & North Africa,High income,AS,1.273994,1.9934985,4.8344693,2.0973097,1.4917774,1.999215,1.1400024,4.1161591,3.3944175,3.9067874,3.7240531,1.5423047,2.2188733,1.7762581,5.0932605,48.599332,2.0190854,2138.564
PAN,Panama,2019,Latin America & Caribbean,High income,SA,1.930017,1.5991709,3.3571429,3.5632582,1.9684707,1.5961719,1.5445437,3.2775048,5.0603535,4.3649842,3.6339334,2.8595159,3.6312687,4.0294864,4.4323175,17.9680278,5.771619,3596.228
PAN,Panama,2021,Latin America & Caribbean,High income,SA,1.8687639,1.5838577,3.3571429,3.7482743,1.9595965,1.6621398,1.6117305,3.2863154,4.7938407,3.5304308,3.8132737,3.4923301,4.0303223,4.0519522,4.813357,39.2260287,1.8483856,1159.9158
PAN,Panama,2024,Latin America & Caribbean,High income,SA,1.7965782,1.6158112,3.400191,3.8815686,1.978444,1.6329175,1.4393911,3.3191616,4.5324797,4.3315162,3.5327977,3.7372711,4.087019,4.0745848,4.813357,20.1901268,6.073176,4234.143
PER,Peru,2019,Latin America & Caribbean,Upper middle income,SA,2.0008575,2.4252144,2.7,4.6411009,2.135681,2.4740107,1.5823896,3.8627003,4.5308803,3.3896296,2.4829104,5.4564636,3.6350901,2.6613838,2.0474459,70.276197,3.709484,8522.776
PER,Peru,2021,Latin America & Caribbean,Upper middle income,SA,1.856326,2.7974148,2.7,4.6960374,2.4005662,2.3788888,1.4317492,3.8560924,4.8335334,3.0741745,2.6717221,6.0429076,3.7745341,2.671615,2.1214337,84.9085788,1.6717396,3315.03868
PER,Peru,2024,Latin America & Caribbean,Upper middle income,SA,1.85451,3.0136275,3.1575267,4.7278417,2.2461324,2.343818,1.3272865,3.8665887,4.8245402,3.2815988,2.704907,6.8822735,4.079486,2.6819093,2.1214337,73.1565704,2.459477,6224.794
PHL,Philippines,2019,East Asia & Pacific,Lower middle income,AS,1.954911,1.7803944,3.2439024,3.8451308,2.1820547,3.0139791,2.1270596,3.9105931,4.5381129,3.8841728,2.7992484,3.3160335,2.3926401,2.8490266,3.6351293,86.6585644,12.37987,40928.23
PHL,Philippines,2021,East Asia & Pacific,Lower middle income,AS,1.7760259,1.9523398,3.2439024,3.9007366,2.3131117,2.9254379,2.000958,4.0043431,4.517203,3.8116453,2.7435185,1.748529,1.8446782,2.8580902,4.5926139,94.1901327,8.221399,29781.4617
PHL,Philippines,2024,East Asia & Pacific,Lower middle income,AS,1.7948952,2.0070571,3.9815901,3.9316528,2.1553596,2.8855281,1.6655444,4.0085683,4.7167607,3.6224076,3.1173716,1.0,1.7549795,3.4809352,4.5926139,92.265956,9.65161,38646.03
POL,Poland,2019,Europe & Central Asia,High income,EU,2.5088858,2.7772214,3.6584158,2.4699928,1.8981646,3.5869824,2.4064064,4.7868132,4.7088563,3.8524337,4.6151787,2.2654726,3.1221341,2.6545414,1.7798082,30.2255295,1.905382,11168.03
POL,Poland,2021,Europe & Central Asia,High income,EU,2.3892253,2.988973,3.6584158,2.8328044,2.715914,3.6665956,2.2761506,4.8771767,4.6448208,3.5760275,4.7558127,2.5737659,3.3339135,2.6661052,1.967102,26.8671881,0.8477861,5034.75142
POL,Poland,2024,Europe & Central Asia,High income,EU,2.3822368,3.3038925,3.9204106,2.8356945,2.6408549,3.6003871,1.9430667,4.897989,4.7304763,3.6612845,4.7117306,2.6552688,3.4381905,2.6777473,1.967102,31.24624,1.7124144,11609.7565
PRT,Portugal,2019,Europe & Central Asia,High income,EU,3.9341976,3.6668827,4.0126581,3.6397539,5.3517215,3.6864285,3.0967857,4.843055,5.5627491,5.4279622,4.4841253,2.7427705,3.6063728,4.8854554,7.0,31.1346829,7.097009,16904.99
PRT,Portugal,2021,Europe & Central Asia,High income,EU,3.5994643,4.0165327,4.0126581,3.5438565,4.8597291,3.6032282,3.0707734,4.9078333,4.9255692,4.3820595,4.3867,2.5631034,3.5784538,3.3620837,7.0,41.390233,3.220131,7438.87854
PRT,Portugal,2024,Europe & Central Asia,High income,EU,3.4665948,4.4166487,3.9469266,3.3869575,4.0464818,3.8835327,4.0845081,4.9019911,5.1443547,5.2938408,4.348806,1.8863351,3.1644064,4.5780794,7.0,35.8629099,6.9656625,17358.5777
PRY,Paraguay,2019,Latin America & Caribbean,Upper middle income,SA,2.1347546,1.4586886,2.7317073,2.1302535,1.0860697,1.4248348,1.3948663,3.057231,6.0479203,2.1429744,1.9967832,4.830388,4.5860596,5.843761,7.0,70.7702077,1.34035,560.932
PRY,Paraguay,2021,Latin America & Caribbean,Upper middle income,SA,1.2195548,1.4465554,2.7317073,2.1436745,1.1528884,1.3902221,1.3440065,3.0484204,5.6765588,2.0610343,2.1244216,5.7790443,5.1813106,5.8573768,7.0,74.0725371,0.759544,265.160829
PRY,Paraguay,2024,Latin America & Caribbean,Upper middle income,SA,1.209521,1.4440469,2.7357392,2.1690442,1.1514532,1.3961094,1.2490301,3.0867171,5.1152008,2.1134784,2.0357343,6.1443826,5.4618253,5.871115,7.0,62.6177365,1.3630619,557.499766
QAT,Qatar,2019,Middle East & North Africa,High income,AS,1.4716329,1.5929082,4.5956202,1.237213,1.112396,3.2470539,1.3729541,4.3964759,3.8170668,5.0891303,4.0342914,1.4712821,4.5019284,1.5398916,3.2202972,15.7419878,3.264936,6171.68
QAT,Qatar,2021,Middle East & North Africa,High income,AS,1.479552,1.594888,4.5956202,1.2872768,1.1774087,3.2161067,1.4304318,4.4295156,3.2994371,5.0581908,4.0214186,1.8809749,4.3737964,1.5397799,4.6545567,17.607161,2.6266005,4128.489
QAT,Qatar,2024,Middle East & North Africa,High income,AS,1.6919297,1.8646491,4.871655,1.306685,1.27445,3.1455967,1.3003553,3.9722068,3.317333,5.460306,4.2218151,2.6032409,5.1689273,1.4567088,4.6545567,13.7182957,2.8465848,6489.08
ROU,Romania,2019,Europe & Central Asia,High income,EU,1.554683,1.8886707,3.7820513,2.5098111,1.3422584,2.1362937,1.2563444,4.749946,4.3814838,3.449988,3.3663933,4.0730541,5.9186016,2.1118144,1.88467,57.2751331,1.535024,3687.65
ROU,Romania,2021,Europe & Central Asia,High income,EU,1.5068283,1.9017071,3.7820513,2.5621901,1.6028761,2.1368171,1.2584377,4.8072698,3.87605,3.2125759,3.3477693,5.791455,5.9991319,2.118495,1.9750749,75.3053858,0.7603875,1845.42966
ROU,Romania,2024,Europe & Central Asia,High income,EU,1.5205561,2.1718057,3.7845877,2.5818779,1.6118816,2.1600152,1.1911008,4.8147836,3.7038202,3.4312043,3.5009169,7.0,6.2559654,2.1252161,1.9750749,53.2496286,1.6060941,4900.86651
RWA,Rwanda,2019,Sub-Saharan Africa,Low income,AF,1.0750817,1.0687704,4.0567079,1.4570801,1.0559544,1.1224163,1.0819361,4.1783492,3.2178264,2.4063243,3.2139508,3.1556538,3.2537354,2.02942,7.0,32.9160241,6.471874,623.0978
RWA,Rwanda,2021,Sub-Saharan Africa,Low income,AF,1.0803689,1.0700922,4.0567079,1.4619781,1.0808977,1.1291398,1.1088299,4.2047809,3.5158172,2.4324725,3.3191884,3.5231517,3.3833832,2.0375982,7.0,47.0197047,1.9536947,195.481315
RWA,Rwanda,2024,Sub-Saharan Africa,Low income,AF,1.0791457,1.0947864,4.5314189,1.6799466,1.09553,1.117451,1.0620748,4.2404114,4.1237099,2.3992056,3.2195935,3.9033146,3.5360878,2.0458552,7.0,52.3412852,2.9326103,382.995367
SAU,Saudi Arabia,2019,Middle East & North Africa,High income,AS,1.4711368,2.1594509,4.4613066,2.5221516,1.1223252,3.261412,1.2046724,2.6718782,4.4868109,4.9142241,3.3882073,1.3619108,3.8272064,1.5843492,1.3229708,54.7994894,3.302797,23844.3
SAU,Saudi Arabia,2021,Middle East & North Africa,High income,AS,1.3691407,2.2589518,4.4613066,2.6008893,1.5159115,3.2359118,1.2495832,2.7049179,4.4798215,4.5124799,3.5922588,1.8533385,4.7573962,1.5884232,1.321426,66.2016531,1.8371224,12608.737
SAU,Saudi Arabia,2024,Middle East & North Africa,High income,AS,1.3952211,2.5821386,5.0144393,2.9948294,1.6617389,3.3333681,1.2006267,3.0993928,4.4263368,4.9637491,3.8370129,2.1071766,6.0419941,1.5925266,1.321426,48.5788108,3.0354838,30557.1556
SEN,Senegal,2019,Sub-Saharan Africa,Lower middle income,AF,1.1375687,1.5260588,3.5,2.5596986,1.1231357,1.2712242,1.0657926,3.1419746,3.4769364,2.7140768,2.6611276,3.310818,3.3878594,3.278614,3.7385544,68.2686074,4.339049,803.4121
SEN,Senegal,2021,Sub-Saharan Africa,Lower middle income,AF,1.1192338,1.5214751,3.5,2.5790802,1.1674531,1.3296491,1.0776913,3.1485825,2.8995966,2.667962,2.7344943,4.2703845,3.9593862,3.294448,3.9053019,79.841824,1.6249045,397.893757
SEN,Senegal,2024,Sub-Saharan Africa,Lower middle income,AF,1.1418199,1.5771217,4.2648243,2.5906181,1.1886363,1.3871563,1.0701763,3.3282971,2.4743463,2.7336447,2.9205245,5.146644,4.450113,3.3103826,3.9053019,81.5337382,2.467793,657.989264
SGP,Singapore,2019,East Asia & Pacific,High income,AS,5.3444652,2.327783,4.0063438,1.648079,2.4259121,4.9099109,5.7451748,5.2173246,5.9611834,6.2012516,6.5150312,1.8810528,3.6714406,7.0,2.5218487,33.7997501,3.971433,13714.25
SGP,Singapore,2021,East Asia & Pacific,High income,AS,3.301365,1.8670079,4.0063438,1.5985854,2.178444,4.4394097,4.9019556,5.2821029,5.6935234,5.7193099,6.5976823,2.7088634,4.1519167,7.0,3.4317526,50.0061855,1.5457766,5171.498
SGP,Singapore,2024,East Asia & Pacific,High income,AS,2.8406901,1.7518392,4.291806,1.5691299,1.9322429,3.7965551,2.5121902,5.7006056,5.7109717,5.9355144,6.5393143,3.4508237,4.6554555,7.0,3.4317526,42.1388346,2.476381,10549.0761
SLV,El Salvador,2019,Latin America & Caribbean,Upper middle income,SA,1.8850804,1.2962701,2.5882354,1.6271949,1.2707528,1.4774649,1.0697158,3.2120161,4.584706,2.6926715,2.7052825,3.6566884,3.7548212,2.5950214,2.8303856,42.2277325,4.467802,1156.636
SLV,El Salvador,2021,Latin America & Caribbean,Upper middle income,SA,1.3663734,1.1665933,2.5882354,1.6493844,1.3925523,1.4805976,1.0822467,3.2032055,4.4785788,2.5777927,2.8229061,4.2316474,3.9842778,2.606042,2.6547428,56.3411758,1.8841652,467.9679
SLV,El Salvador,2024,Latin America & Caribbean,Upper middle income,SA,1.3948238,1.173706,2.7977353,1.6986628,1.5014906,1.5048152,1.0704803,3.1970231,4.5630814,2.9471667,2.8554372,4.2966707,3.8297722,2.6174022,2.6547428,37.1487023,4.778255,1411.61692
SRB,Serbia,2019,Europe & Central Asia,Upper middle income,EU,1.2741959,1.443549,3.409091,1.5365946,1.0836789,1.7109006,1.1003685,4.7271488,3.5056998,3.2343016,3.2861107,3.6787857,4.3370408,1.315701,2.2401932,29.9817267,2.416654,1154.752
SRB,Serbia,2021,Europe & Central Asia,Upper middle income,EU,1.2977697,1.6661091,3.409091,1.552868,1.1553909,1.7200635,1.1370202,4.7910805,3.6135818,3.1639725,3.3270282,4.187785,4.3606829,1.3165448,2.2971162,34.6518702,0.9501025,498.464942
SRB,Serbia,2024,Europe & Central Asia,Upper middle income,EU,1.2983869,1.7162634,3.7129082,1.5868333,1.1602563,1.7164726,1.0946364,4.5020925,3.7151318,3.3910649,3.5120631,4.5367495,4.2356219,1.3173948,2.2971162,21.8795906,2.5885918,1484.34949
SVN,Slovenia,2019,Europe & Central Asia,High income,EU,1.3612254,1.506973,2.7530863,2.4340216,2.2015799,1.5168086,1.2139695,4.8909591,5.3417993,2.7098588,4.7988812,4.0542834,5.1315675,3.621577,2.8191283,33.4515109,3.442441,1889.367
SVN,Slovenia,2021,Europe & Central Asia,High income,EU,1.2985559,1.5163056,2.7530863,2.5219788,2.9186399,1.5427818,1.105117,4.935067,5.6443164,2.1392965,4.829858,3.0507009,4.1482385,3.6410575,2.8668932,58.1331297,2.6785245,1409.06692
SVN,Slovenia,2024,Europe & Central Asia,High income,EU,1.2953518,1.6155046,2.8702865,2.5255415,2.8558594,1.5325307,1.0641127,4.9423791,5.6749142,2.2642833,4.7173702,1.6332844,3.2040443,3.660681,2.8668932,39.4899035,4.00951,2440.38129
SWE,Sweden,2019,Europe & Central Asia,High income,EU,2.0566281,2.1849904,4.147541,2.6679957,2.6170858,4.0322126,1.9821423,4.8256278,4.3189905,4.9443307,4.6625837,4.5066299,5.9967611,2.3277214,1.3311035,56.5274485,2.432829,13471.96
SWE,Sweden,2021,Europe & Central Asia,High income,EU,1.8293818,2.1281788,4.147541,2.8157377,3.3627256,4.2938612,2.1066566,4.8697357,4.473847,4.0064938,4.6560375,4.4210763,5.1077811,1.9975046,1.3911485,74.3626125,1.54385,8287.922
SWE,Sweden,2024,Europe & Central Asia,High income,EU,1.8074294,2.3393573,4.632186,2.8741096,3.5209792,4.2049643,1.7601483,4.8770271,4.5436211,4.2142686,4.630495,4.1828843,4.1200239,2.2832043,1.3911485,69.1556663,2.4852378,14575.6483
THA,Thailand,2019,East Asia & Pacific,Upper middle income,AS,2.754337,2.1469176,4.5754719,4.5604175,4.7888132,4.7399038,5.7802214,4.2308201,4.7358469,5.4977251,3.6004711,2.1439844,2.8195043,2.6933644,2.454884,19.7602257,9.617188,48863.1
THA,Thailand,2021,East Asia & Pacific,Upper middle income,AS,3.0823895,2.612264,4.5754719,4.8717208,5.2939912,4.342035,4.9362516,4.3471609,4.4118046,5.0205232,3.7413511,1.3720082,2.8321697,2.7060636,3.039294,56.9327128,3.7042909,18393.7111
