Sigla,País,Ano,Region,IncomeGroup,Continente,Cultural Demand,Cultural Resources,Geographic Dispersion,Natural Resources,Natural Demand,Non Leisure Resources,Non Leisure Demand,Openness to Tourism,Prioritization of Tourism,Air Transport Infrastructure,Ground and Port Infrastructure,T&T Employment Multiplier,T&T GDP Multiplier,T&T Government Expenditure - % of Government Budget,T&T High-Wage Jobs -  % of Employment in High Wage Sectors,Domestic T&T spending - % of Internal T&T Spending,T&T industry Share of GDP - % of total GDP,T&T industry GDP
BGR,Bulgaria,2021,Europe & Central Asia,High income,EU,1.3965256,2.0574647,3.4516129,2.8138753,1.9301565,1.926569,1.3975408,4.7152315,4.6585764,3.2935082,3.5943484,5.0617633,6.4114472,3.0229424,1.8873965,26.7968828,1.2623867,862.397
BGR,Bulgaria,2024,Europe & Central Asia,High income,EU,1.3707162,2.1010124,3.5118509,2.822776,1.8902644,1.8394427,1.246821,4.7292283,4.5198413,3.529465,3.5435601,4.4031057,6.3564207,3.0418064,1.8873965,17.1724775,1.8385041,1531.7148
BHR,Bahrain,2019,Middle East & North Africa,High income,AS,1.4913893,1.2228473,4.4180856,1.1152834,1.1264171,3.0374521,1.2522495,3.2882928,4.2101325,4.4950236,4.4959473,2.6788378,3.1830573,3.4378492,3.5449299,15.5697388,5.996256,2562.527
BHR,Bahrain,2021,Middle East & North Africa,High income,AS,1.421237,1.4469759,4.4180856,1.1332706,1.2163532,2.9586349,2.3770983,3.3147245,4.9115216,3.7509228,4.5920624,2.8642043,3.4101823,3.4602244,3.9204735,18.0194248,2.5509176,843.733
BHR,Bahrain,2024,Middle East & North Africa,High income,AS,1.4165348,1.5458004,4.4113514,1.2213575,1.1951043,2.423291,1.2032999,3.5667234,4.8568637,4.4648321,4.5074106,3.1044052,3.7016597,3.482816,3.9204735,12.25175,5.0477095,2320.431
BIH,Bosnia and Herzegovina,2019,Europe & Central Asia,Upper middle income,EU,1.3372327,1.3593082,3.0272727,1.3709809,1.0924908,1.3372758,1.0025865,3.5462286,4.5631134,2.332162,2.4139526,5.3979894,5.565368,1.6616344,3.4547374,36.7466108,2.758169,541.3801
BIH,Bosnia and Herzegovina,2021,Europe & Central Asia,Upper middle income,EU,1.1628733,1.532385,3.0272727,1.69912,1.1951859,1.337681,1.0042073,3.5962286,3.7517359,2.2004678,2.4687139,4.9699798,4.7974699,1.6670279,3.4345373,52.0186842,1.2582349,247.83659
BIH,Bosnia and Herzegovina,2024,Europe & Central Asia,Upper middle income,EU,1.1778765,1.5861358,3.1943214,1.7399893,1.2173229,1.3299362,1.0089259,4.6319953,2.8241528,2.5205395,2.565924,4.4962805,4.1283974,1.6724585,3.4345373,31.4005425,2.7533042,691.5461
BOL,Bolivia,2019,Latin America & Caribbean,Lower middle income,SA,1.5644255,2.207773,2.2319064,3.5834838,1.2528757,1.5300915,1.2283317,3.4645129,3.9289119,2.2541962,2.2127268,3.5179974,3.5749099,2.8997026,2.9585259,54.6366624,2.742922,1115.129
BOL,Bolivia,2021,Latin America & Caribbean,Lower middle income,SA,1.3373153,2.2009955,2.2319064,3.6097107,1.3841348,1.5175539,1.1781814,3.4733235,4.1891976,2.2552719,2.401184,3.9350904,3.7198087,2.9070352,3.517732,76.3623075,1.0940319,411.815137
BOL,Bolivia,2024,Latin America & Caribbean,Lower middle income,SA,1.2760492,2.235679,2.6801108,3.6467825,1.4578757,1.5522381,1.1429422,3.4770805,3.765269,2.3067433,2.3760736,4.407542,3.9084728,2.9143956,3.517732,61.6077457,1.859955,874.702454
BRA,Brazil,2019,Latin America & Caribbean,Upper middle income,SA,4.5184445,5.4629444,3.1702127,6.1382825,2.6914126,4.2331267,2.738614,4.6055367,4.4552212,4.0058235,2.455576,4.6085274,4.4201394,2.7302026,3.9050583,93.7743155,2.966568,55845.52
