Sigla,País,Ano,Valor Bruto,Pontuação Final,Rank,Continente
IND,India,2021,5.222615809446434,5.222615809446434,7.0,AS
IND,India,2024,5.047559915087098,5.047559915087098,9.0,AS
IRL,Ireland,2019,4.024573819933586,4.024573819933586,20.0,EU
IRL,Ireland,2021,4.161684101800154,4.161684101800154,19.0,EU
IRL,Ireland,2024,4.18130697151035,4.18130697151035,19.0,EU
IRN,"Iran, Islamic Rep.",2019,2.302916592943149,2.302916592943149,55.0,AS
IRN,"Iran, Islamic Rep.",2021,2.302107632008141,2.302107632008141,55.0,AS
IRN,"Iran, Islamic Rep.",2024,2.15595693494674,2.15595693494674,58.0,AS
ISL,Iceland,2019,1.308194934289334,1.308194934289334,98.0,EU
ISL,Iceland,2021,1.3195224944856183,1.3195224944856183,97.0,EU
ISL,Iceland,2024,1.329386935665387,1.329386935665387,97.0,EU
ISR,Israel,2019,3.5848051751975127,3.5848051751975127,29.0,AS
ISR,Israel,2021,3.4912811015876493,3.4912811015876493,29.0,AS
ISR,Israel,2024,3.451570776700894,3.451570776700894,28.0,AS
ITA,Italy,2019,4.4189831293325845,4.4189831293325845,17.0,EU
ITA,Italy,2021,4.241712867756404,4.241712867756404,17.0,EU
ITA,Italy,2024,4.229792740794234,4.229792740794234,15.0,EU
JAM,Jamaica,2019,1.1962688265285486,1.1962688265285486,106.0,SA
JAM,Jamaica,2021,1.1924212323684071,1.1924212323684071,107.0,SA
JAM,Jamaica,2024,1.1843308160792865,1.1843308160792865,108.0,SA
JOR,Jordan,2019,2.6610734052025578,2.6610734052025578,47.0,AS
JOR,Jordan,2021,2.4687828505389886,2.4687828505389886,51.0,AS
JOR,Jordan,2024,2.195104554142146,2.195104554142146,55.0,AS
JPN,Japan,2019,6.181443641112372,6.181443641112372,5.0,AS
JPN,Japan,2021,6.080431792035245,6.080431792035245,4.0,AS
JPN,Japan,2024,5.93041076248922,5.93041076248922,4.0,AS
KAZ,Kazakhstan,2019,1.9558136225928249,1.9558136225928249,66.0,AS
KAZ,Kazakhstan,2021,2.114197957080417,2.114197957080417,61.0,AS
KAZ,Kazakhstan,2024,2.2225599034394667,2.2225599034394667,54.0,AS
KEN,Kenya,2019,2.1590569218671023,2.1590569218671023,60.0,AF
KEN,Kenya,2021,2.267975904634442,2.267975904634442,58.0,AF
KEN,Kenya,2024,1.9924998345374547,1.9924998345374547,63.0,AF
KGZ,Kyrgyz Republic,2019,1.1038856132991957,1.1038856132991957,114.0,AS
KGZ,Kyrgyz Republic,2021,1.1689186125312494,1.1689186125312494,109.0,AS
KGZ,Kyrgyz Republic,2024,1.1966362361395448,1.1966362361395448,107.0,AS
KHM,Cambodia,2019,1.3729196957867102,1.3729196957867102,93.0,AS
KHM,Cambodia,2021,1.4371518740523803,1.4371518740523803,87.0,AS
KHM,Cambodia,2024,1.4142457320210422,1.4142457320210422,91.0,AS
KOR,"Korea, Rep.",2019,5.022052993855146,5.022052993855146,10.0,AS
KOR,"Korea, Rep.",2021,5.042036894848278,5.042036894848278,9.0,AS
KOR,"Korea, Rep.",2024,4.724487687770144,4.724487687770144,11.0,AS
KWT,Kuwait,2019,2.6404260707472744,2.6404260707472744,48.0,AS
KWT,Kuwait,2021,2.637795598025715,2.637795598025715,47.0,AS
KWT,Kuwait,2024,2.449437579184971,2.449437579184971,48.0,AS
LAO,Lao PDR,2019,1.1319464379908446,1.1319464379908446,112.0,AS
LAO,Lao PDR,2021,1.1288441595231014,1.1288441595231014,114.0,AS
LAO,Lao PDR,2024,1.1060069387563485,1.1060069387563485,115.0,AS
LBN,Lebanon,2019,3.325604690110918,3.325604690110918,33.0,AS
LBN,Lebanon,2021,2.9088320604647744,2.9088320604647744,42.0,AS
LBN,Lebanon,2024,1.8556314782433143,1.8556314782433143,67.0,AS
LKA,Sri Lanka,2019,1.6899613386381285,1.6899613386381285,73.0,AS
LKA,Sri Lanka,2021,1.6343910360255949,1.6343910360255949,73.0,AS
LKA,Sri Lanka,2024,1.6076659379689613,1.6076659379689613,74.0,AS
LTU,Lithuania,2019,1.5896602326306866,1.5896602326306866,79.0,EU
LTU,Lithuania,2021,1.5895397871290626,1.5895397871290626,75.0,EU
LTU,Lithuania,2024,1.5783755482002126,1.5783755482002126,75.0,EU
LUX,Luxembourg,2019,3.2688599046828672,3.2688599046828672,35.0,EU
LUX,Luxembourg,2021,3.2237383481105137,3.2237383481105137,35.0,EU
LUX,Luxembourg,2024,3.273412838222307,3.273412838222307,34.0,EU
LVA,Latvia,2019,1.531513140778579,1.531513140778579,81.0,EU
LVA,Latvia,2021,1.5275630664335191,1.5275630664335191,82.0,EU
LVA,Latvia,2024,1.5304171528834571,1.5304171528834571,83.0,EU
MAR,Morocco,2019,3.084214851335682,3.084214851335682,40.0,AF
MAR,Morocco,2021,2.868170142233521,2.868170142233521,44.0,AF
