Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2026-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Continent,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,SpecialNotes
Switzerland,CHE,EU,7420000000,7626000000,6987000000,6814000000,5767000000,5746000000,5451000000,5841000000,7287000000,8561000000,9287000000,9728000000,10634000000,11464000000,11529000000,11805000000,14533000000,16018000000,17024000000,17781000000,17207000000,17619000000,19099000000,19054000000,18754000000,9546000000,
Chile,CHL,SA,703000000,736000000,839000000,888000000,752000000,620000000,708000000,673000000,850000000,977000000,810000000,904000000,1026000000,994000000,1174000000,1313000000,1663000000,1833000000,1867000000,2089000000,1963000000,2124000000,2304000000,2363000000,2428000000,530000000,
China,CHN,AS,3688000000,4474000000,8130000000,9205000000,10864000000,13114000000,13909000000,15398000000,15187000000,19149000000,21759000000,24322000000,29786000000,36157000000,43702000000,54880000000,72585000000,101977000000,128576000000,227344000000,249831000000,250112000000,257875000000,277265000000,254621000000,130504000000,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong, and on 20 December 1999, China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1978-1993. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
Cote d'Ivoire,CIV,AF,190000000,221000000,200000000,213000000,222000000,189000000,187000000,358000000,387000000,381000000,354000000,373000000,372000000,356000000,343000000,352000000,380000000,364000000,381000000,402000000,357000000,372000000,386500000,416000000,474000000,205000000,
Cameroon,CMR,AF,105000000,134000000,136000000,160000000,152000000,205000000,160000000,171000000,171000000,323000000,355000000,412000000,368000000,410000000,389000000,186000000,529000000,518000000,612000000,630000000,568000000,615000000,635000000,688000000,749000000,553000000,
"Congo, Dem. Rep.",COD,AF,,,,,,,,,,,54000000,93000000,109000000,127000000,121000000,150000000,298000000,108000000,170000000,283000000,127000000,60000000,68000000,115000000,96000000,204000000,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1999-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
"Congo, Rep.",COG,AF,52000000,78000000,65000000,54000000,63000000,50000000,65000000,70000000,78000000,103000000,112000000,132000000,91000000,84000000,378000000,211000000,223000000,173000000,204000000,257000000,324000000,251000000,,,,,
Colombia,COL,SA,878000000,1117000000,1209000000,1120000000,1013000000,1060000000,1164000000,1075000000,1062000000,1185000000,1499000000,1690000000,1904000000,2177000000,2252000000,2641000000,3032000000,3626000000,3941000000,4683000000,4318000000,4254000000,4475000000,4784000000,4935000000,1396000000,
Comoros,COM,AF,7000000,,,,,,,,,,960000038146973,11000000,151999998092651,153000001907349,171000003814697,191000003814697,211000003814697,197000007629395,,24000000,19000000,21000000,24000000,28000000,31000000,31000000,
Cabo Verde,CPV,AF,16000000,18000000,17000000,24000000,41000000,36000000,47000000,56000000,73000000,78000000,67000000,82000000,107000000,133000000,136000000,129000000,132000000,127000000,120000000,110000000,101000000,71000000,78000000,85000000,85000000,52000000,
Costa Rica,CRI,NA,323000000,336000000,348000000,409000000,447000000,479000000,360000000,341000000,349000000,401000000,463000000,479000000,625000000,586000000,363000000,418000000,400000000,422000000,425000000,450000000,690000000,803000000,1044000000,838000000,950000000,300000000,
Curacao,CUW,NA,,,,,,,,,,,,,203000000,203000000,209000000,226000000,267000000,278000000,299000000,310000000,346000000,359000000,370000000,384000000,341000000,102000000,
Cyprus,CYP,EU,329734649658203,365293487548828,385000000,408000000,431000000,413000000,428000000,512000000,611000000,811000000,932000000,967000000,1479000000,1666000000,1405000000,1320000000,1366000000,1318000000,1254000000,1343000000,1080000000,1120000000,1378000000,1569000000,1596000000,880000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
Czechia,CZE,EU,1635000000,2960000000,2355000000,1908000000,1493000000,1276000000,1386000000,1597000000,1934000000,2280000000,2405000000,2765000000,3768000000,4884000000,4255000000,4252000000,4789000000,4472000000,4637000000,5133000000,4772000000,4920000000,5465000000,5972000000,5889000000,3430000000,
Germany,DEU,EU,60260000000,59076000000,53667000000,54423000000,55877000000,52829000000,51824000000,53052000000,65290000000,71231000000,74167000000,74153000000,83138000000,91641000000,81461000000,77566000000,86227000000,83202000000,91311000000,93284000000,77468000000,79923000000,89736000000,95199000000,93097000000,38752000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 Deutsche Mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries. GDP data before 1991 are calculated by applying backward GDP growth rates of the former Federal Republic of Germany starting from the first official GDP value for the unified Germany (1991)."
Djibouti,DJI,AF,379999995231628,390000009536743,5000000,259999990463257,290000009536743,590000009536743,4000000,279999995231628,279999995231628,279999995231628,290000009536743,3500000,259999990463257,370000004768372,580000019073486,860000038146973,21000000,183999996185303,192000007629395,21500000,28500000,23500000,277999992370605,222999992370605,25000000,148999996185303,
Dominica,DMA,NA,6000000,7000000,7000000,8000000,9000000,9000000,9000000,9000000,9000000,9000000,10000000,10000000,11000000,11000000,13000000,13000000,12000000,12000000,13000000,26000000,22000000,23000000,19000000,20000000,22000000,6000000,
Denmark,DNK,EU,4288000000,4140000000,4194000000,4577000000,4899000000,4669000000,4861000000,5838000000,6659000000,7279000000,6850000000,7486000000,8830000000,9698000000,8968000000,9082000000,9840000000,9600000000,10072000000,10443000000,8918000000,9174000000,9804000000,10538000000,10037000000,5636000000,
Dominican Republic,DOM,NA,173000000,198000000,221000000,254000000,264000000,309000000,291000000,295000000,272000000,310000000,352000000,333000000,326000000,327000000,359000000,395000000,396000000,399000000,382000000,407000000,463000000,503000000,530000000,549000000,624000000,214000000,
Algeria,DZA,AF,186000000,188000000,144000000,269000000,251000000,193000000,194000000,248000000,255000000,341000000,370000000,349000000,376000000,468000000,456000000,601000000,527000000,529000000,471000000,608000000,685000000,474000000,580000000,498000000,638000000,234000000,
Ecuador,ECU,SA,235000000,219000000,227000000,241000000,271000000,299000000,340000000,364000000,354000000,391000000,429000000,466000000,504000000,542000000,549000000,568000000,594000000,611000000,623000000,635000000,639000000,1081000000,1064000000,1134000000,1216000000,408000000,
