Sigla,País,Ano,Valor Bruto,Pontuação Final,Rank,Continente
KOR,"Korea, Rep.",2024,3.8720710279271495,3.8720710279271495,66.0,AS
KWT,Kuwait,2019,2.8301975607644594,2.8301975607644594,101.0,AS
KWT,Kuwait,2021,2.8478187061389093,2.8478187061389093,100.0,AS
KWT,Kuwait,2024,2.875139256876884,2.875139256876884,107.0,AS
LAO,Lao PDR,2019,3.6594007301729934,3.6594007301729934,76.0,AS
LAO,Lao PDR,2021,3.7719007301729945,3.7719007301729945,71.0,AS
LAO,Lao PDR,2024,3.7785037751704382,3.7785037751704382,71.0,AS
LBN,Lebanon,2019,3.279695427995476,3.279695427995476,88.0,AS
LBN,Lebanon,2021,3.292911287026312,3.292911287026312,88.0,AS
LBN,Lebanon,2024,3.2906187236486155,3.2906187236486155,91.0,AS
LKA,Sri Lanka,2019,3.3816375896282085,3.3816375896282085,86.0,AS
LKA,Sri Lanka,2021,3.368421730597372,3.368421730597372,86.0,AS
LKA,Sri Lanka,2024,3.693531384732728,3.693531384732728,77.0,AS
LTU,Lithuania,2019,4.036225431163252,4.036225431163252,58.0,EU
LTU,Lithuania,2021,4.080333360678671,4.080333360678671,58.0,EU
LTU,Lithuania,2024,4.08765783010623,4.08765783010623,58.0,EU
LUX,Luxembourg,2019,4.617679210546972,4.617679210546972,33.0,EU
LUX,Luxembourg,2021,4.66839506957781,4.66839506957781,32.0,EU
LUX,Luxembourg,2024,4.65587268384752,4.65587268384752,36.0,EU
LVA,Latvia,2019,4.256717230970765,4.256717230970765,41.0,EU
LVA,Latvia,2021,4.31552780365799,4.31552780365799,41.0,EU
LVA,Latvia,2024,4.325298591046283,4.325298591046283,45.0,EU
MAR,Morocco,2019,4.163332837503611,4.163332837503611,49.0,AF
MAR,Morocco,2021,4.169940767019029,4.169940767019029,51.0,AF
MAR,Morocco,2024,4.188020918769443,4.188020918769443,50.0,AF
MDA,Moldova,2019,3.564461888585744,3.564461888585744,79.0,EU
MDA,Moldova,2021,3.5710698181011624,3.5710698181011624,81.0,EU
MDA,Moldova,2024,3.572490337378249,3.572490337378249,81.0,EU
MEX,Mexico,2019,4.012844351536463,4.012844351536463,60.0,NA
MEX,Mexico,2021,4.012844351536463,4.012844351536463,60.0,NA
MEX,Mexico,2024,3.9579362106591898,3.9579362106591898,64.0,NA
MKD,North Macedonia,2019,3.660491385885833,3.660491385885833,75.0,EU
MKD,North Macedonia,2021,3.728112531260282,3.728112531260282,73.0,EU
MKD,North Macedonia,2024,3.678774664445523,3.678774664445523,78.0,EU
MLI,Mali,2019,1.9423935223969693,1.9423935223969693,118.0,AF
MLI,Mali,2021,1.9423935223969693,1.9423935223969693,118.0,AF
